char,sent_n,token_i,word
0,1,0,Representatives
33,1,5,nations
41,1,6,gathered
57,1,9,Indonesian
68,1,10,island
78,1,12,Bali
83,1,13,today
92,1,15,kick
103,1,18,United
110,1,19,Nations
118,1,21,sponsored
128,1,22,conference
142,1,24,global
149,1,25,climate
157,1,26,change
174,2,30,hopes
184,2,32,meeting
197,2,34,conclude
213,2,37,road
218,2,38,map
231,2,41,new
235,2,42,agreement
248,2,44,reducing
261,2,46,types
270,2,48,air
274,2,49,pollution
289,2,51,scientists
300,2,52,believe
312,2,54,driving
320,2,55,changes
335,2,58,earth
343,2,60,climate
357,3,64,Bali
362,3,65,meeting
370,3,66,aims
382,3,69,countries
395,3,71,commit
405,3,73,working
419,3,76,new
423,3,77,agreement
436,3,79,emissions
446,3,80,cuts
454,3,82,extend
464,3,84,replace
476,3,86,Kyoto
482,3,87,Protocol
498,3,90,expires
515,4,94,Conference
526,4,95,president
536,4,96,Rachmat
544,4,97,Witoelar
556,4,99,Indonesia
566,4,100,told
571,4,101,reporters
588,4,104,detailed
597,4,105,proposal
613,4,108,necessary
631,4,111,stage
642,4,114,participation
663,4,117,nations
674,4,119,vital
683,5,123,We
694,5,126,happy
708,5,129,Bali
713,5,130,road
718,5,131,map
725,5,133,general
748,5,138,push
764,5,142,detailed
781,5,145,short
787,5,146,time
797,5,150,said
808,6,154,introduction
826,6,157,process
837,6,159,important
850,7,163,As
857,7,165,conference
868,7,166,opened
876,7,168,Australia
888,7,170,new
892,7,171,prime
898,7,172,minister
908,7,174,Kevin
914,7,175,Rudd
920,7,177,signed
931,7,179,Kyoto
937,7,180,Protocol
947,7,182,limiting
960,7,184,country
970,7,186,greenhouse
981,7,187,gas
985,7,188,emissions
996,8,190,That
1001,8,191,act
1005,8,192,earned
1014,8,194,standing
1023,8,195,ovation
1034,8,197,Bali
1044,8,200,focused
1052,8,201,attention
1069,8,204,failure
1084,8,207,United
1091,8,208,States
1101,8,210,sign
1110,8,212,protocol
1130,8,216,developed
1140,8,217,nation
1170,9,226,While
1180,9,228,current
1193,9,230,delegation
1213,9,233,join
1229,9,236,negotiations
1247,9,238,mandatory
1257,9,239,limits
1267,9,241,global
1274,9,242,warming
1282,9,243,pollution
1298,9,246,wo
1323,9,252,final
1329,9,253,deal
1351,10,259,A
1353,10,260,new
1357,10,261,team
1377,10,266,field
1395,10,270,different
1405,10,271,game
1410,10,272,plan
1420,10,276,said
1437,11,281,nations
1454,11,284,allow
1472,11,288,derail
1480,11,290,delay
1489,11,292,water
1504,11,295,Bali
1509,11,296,mandate
1520,12,300,Senior
1532,12,302,negotiator
1543,12,303,Harlan
1550,12,304,Watson
1557,12,305,denied
1568,12,307,country
1580,12,309,blocking
1589,12,310,progress
1599,12,312,saying
1619,12,316,merely
1626,12,317,chosen
1635,12,319,different
1645,12,320,course
1655,13,324,It
1671,13,329,country
1689,13,333,analysis
1702,13,335,analyze
1732,13,340,target
1745,13,344,able
1751,14,346,Obviously
1770,14,349,came
1780,14,352,different
1790,14,353,conclusion
1806,14,357,said
1813,15,360,We
1816,15,361,respect
1828,15,363,decisions
1844,15,365,countries
1871,15,370,course
1878,15,371,ask
1890,15,374,respect
1902,15,376,decision
1930,15,384,President
1940,15,385,Bush
1945,15,386,says
1959,15,389,Kyoto
1965,15,390,Protocol
1974,15,391,threatened
1990,15,393,economic
1999,15,394,growth
2011,15,397,believes
2029,15,400,future
2036,15,401,climate
2044,15,403,change
2051,15,404,agreement
2069,15,407,ineffective
2091,15,410,includes
2100,15,411,rapidly
2108,15,412,developing
2119,15,413,nations
2135,15,416,China
2145,15,418,India
2172,15,424,world
2180,15,426,largest
2188,15,427,producers
2201,15,429,greenhouse
2212,15,430,gases
2220,16,433,Other
2226,16,434,subjects
2242,16,437,agenda
2252,16,439,Bali
2257,16,440,include
2265,16,441,saving
2276,16,443,world
2284,16,445,remaining
2294,16,446,forests
2307,16,449,sharing
2315,16,450,technologies
2331,16,452,help
2336,16,453,developing
2347,16,454,nations
2355,16,455,grow
2368,16,459,polluting
2378,16,460,ways
2398,17,465,hopes
2407,17,467,finalize
2418,17,469,fund
2426,17,471,help
2431,17,472,countries
2441,17,473,affected
2453,17,475,global
2460,17,476,warming
2471,17,478,cope
2485,17,481,impacts
2498,18,484,money
2520,18,488,flood
2526,18,490,proof
2532,18,491,houses
2540,18,493,better
2547,18,494,water
2553,18,495,management
2569,18,498,crop
2574,18,499,diversification
2596,19,503,Bali
2601,19,504,conference
2617,19,506,continue
2632,19,508,December
2645,20,511,Thousands
2658,20,513,government
2669,20,514,representatives
2686,20,516,scientists
2701,20,518,activists
2715,20,520,attending
