char,sent_n,token_i,word
0,1,0,Mark
5,1,1,Scott
14,1,3,running
30,1,6,Libertarian
49,1,9,Ontario
57,1,10,provincial
68,1,11,election
104,1,16,riding
112,2,18,Wikinews
122,3,20,Nick
127,3,21,Moreau
134,3,22,interviewed
164,3,26,values
176,3,29,experience
196,3,33,campaign
207,4,36,Stay
212,4,37,tuned
230,4,40,interviews
248,4,43,candidate
269,4,46,party
278,4,48,eligible
300,4,53,contacted
311,5,55,Expect
318,5,56,interviews
334,5,58,Liberals
344,5,60,Progressive
356,5,61,Conservatives
371,5,63,New
375,5,64,Democratic
386,5,65,Party
392,5,66,members
401,5,68,Ontario
409,5,69,Greens
428,5,74,members
445,5,77,Family
452,5,78,Coalition
463,5,80,Freedom
472,5,82,Communist
483,5,84,Libertarian
500,5,87,Confederation
517,5,89,Regions
525,5,90,parties
545,5,95,independents
