char,sent_n,token_i,word
0,1,0,A
2,1,1,jury
10,1,3,Houston
18,1,4,found
24,1,5,Former
31,1,6,Enron
43,1,8,CEOs
48,1,9,Kenneth
59,1,11,Lay
67,1,13,Jeffrey
78,1,15,Skilling
87,1,16,guilty
99,1,19,kinds
108,1,21,white
114,1,23,collar
121,1,24,crime
130,1,26,May
138,2,29,Lay
146,2,31,convicted
167,2,35,counts
193,2,40,Skilling
206,2,42,convicted
224,2,45,nineteen
240,2,48,charged
261,2,52,counts
273,3,55,variety
284,3,57,charges
306,3,61,men
315,3,63,convicted
329,3,65,astonishing
342,3,67,conspiracy
354,3,69,wire
359,3,70,fraud
366,3,72,false
372,3,73,statements
386,3,75,banks
396,3,77,auditors
418,4,82,Both
423,4,83,men
431,4,85,face
441,4,87,years
450,4,89,prison
459,5,92,Outside
471,5,94,courtroom
482,5,96,Skilling
491,5,97,continued
504,5,99,proclaim
517,5,101,innocence
529,6,104,Obviously
540,6,106,I
544,6,108,disappointed
573,6,114,way
581,6,116,system
588,6,117,works
596,6,120,Skilling
605,6,121,said
620,6,124,verdict
629,7,126,He
635,7,128,expected
647,7,130,appeal
655,8,132,Lay
667,8,135,immediately
679,8,136,speak
688,8,138,reporters
698,8,139,outside
710,8,141,courtroom
726,9,145,verdict
738,9,147,reached
753,9,150,sixth
759,9,151,day
766,9,153,deliberations
793,9,158,month
799,9,160,long
804,9,161,trial
814,9,163,brings
826,9,166,close
849,9,171,wave
857,9,173,accounting
868,9,174,scandals
877,9,175,earlier
892,9,178,decade
904,10,181,verdict
917,10,183,represents
936,10,185,major
942,10,186,victory
958,10,189,government
980,10,193,successfully
993,10,194,prosecuted
1006,10,196,number
1016,10,198,high
1021,10,200,profile
1029,10,201,executives
1040,10,202,involved
1052,10,204,accounting
1063,10,205,scandals
1084,10,210,obtained
1093,10,211,sixteen
1101,10,212,guilty
1108,10,213,pleas
1126,10,216,Enron
1132,10,217,executives
1145,11,220,Sentencing
1165,11,223,set
1173,11,225,September
1198,12,231,District
1207,12,232,Judge
1213,12,233,Sim
1217,12,234,Lake
1222,12,235,ordered
1230,12,236,Lay
1237,12,238,post
1247,12,242,million
1255,12,243,bond
1264,12,245,surrender
1278,12,247,passport
1294,12,249,leaving
1306,12,251,courtroom
