char,sent_n,token_i,word
0,1,0,Oscar
6,1,1,Diös
16,1,4,Swedish
24,1,5,businessman
36,1,6,looking
47,1,8,invest
59,1,11,new
63,1,12,project
82,1,15,aviation
91,1,16,community
102,2,18,He
115,2,21,bought
126,2,23,venture
142,2,26,airliner
154,2,29,Boeing
171,3,35,However
184,3,38,intention
204,3,42,start
213,3,44,airline
230,3,48,jet
241,3,51,intended
254,3,53,flight
262,4,55,Instead
274,4,58,plans
283,4,60,convert
295,4,62,airliner
311,4,65,unique
318,4,66,business
336,4,69,calls
347,4,72,Jumbo
353,4,73,Hostel
375,5,78,widebodied
386,5,79,jetliner
408,5,83,rooms
414,5,84,sleeping
425,5,86,total
437,5,89,people
445,5,91,including
465,5,95,luxury
472,5,96,suite
485,5,99,cockpit
503,5,103,sit
514,5,106,entrance
526,5,108,Stockholm
536,5,110,Arlanda
544,5,111,Airport
554,6,114,Built
573,6,119,aircraft
590,6,123,old
594,6,124,wreck
606,6,127,acquired
616,6,129,according
629,6,131,Oscar
640,7,134,aircraft
659,7,137,offered
671,7,139,sale
679,7,141,Stolkholm
689,7,143,Arlanda
703,7,145,previous
712,7,146,owner
718,7,147,Transjet
734,7,149,bankrupt
748,8,152,airframe
771,8,156,completely
782,8,157,gutted
802,8,161,fitted
816,8,164,new
821,8,166,modernised
832,8,167,interior
842,9,169,Each
847,9,170,room
852,9,171,contains
867,9,173,bunk
872,9,174,beds
878,10,176,A
880,10,177,cafe
891,10,180,walkway
910,10,183,left
915,10,184,wing
929,10,187,featured
944,11,191,airliner
958,11,193,sit
967,11,196,concrete
976,11,197,platform
992,11,200,airport
1002,11,202,entrance
1021,11,206,landing
1029,11,207,gear
1034,11,208,secured
1045,11,210,steel
1051,11,211,cradles
1060,12,213,It
1066,12,215,intended
1078,12,217,offer
1086,12,219,good
1091,12,220,view
1103,12,223,day
1110,12,227,day
1114,12,228,operation
1131,12,231,airport
1145,13,235,hostel
1165,13,240,open
1173,13,242,December
1186,13,245,aimed
1195,13,247,families
1209,13,249,children
1219,13,251,aviation
1228,13,252,enthusiasts
1241,13,254,low
1245,13,256,budget
1252,13,257,travelers
1266,13,259,people
1273,13,260,catching
1282,13,261,early
1288,13,262,morning
1296,13,263,flights
1308,13,265,wish
1316,13,267,leave
1328,13,270,late
1336,13,272,possible
1352,13,274,rising
1369,13,278,check
1380,13,282,unlike
1391,13,284,competitors
1408,13,287,Jumbo
1414,13,288,Hostel
1428,13,291,minutes
1436,13,292,walk
1450,13,295,check
1459,13,298,desks
1468,14,301,Wikinews
1477,14,302,conducted
1490,14,304,email
1496,14,305,interview
1511,14,307,Oscar
1517,14,308,Diös
1525,14,310,talk
1540,14,313,hostel
1557,15,317,exclusive
1567,15,318,interview
1580,15,320,available
