char,sent_n,token_i,word
0,1,0,A
2,1,1,woman
12,1,3,died
27,1,6,vehicle
43,1,9,travelling
57,1,11,plus
64,1,13,second
71,1,14,vehicle
89,1,17,struck
101,1,20,train
112,1,23,level
118,1,24,crossing
130,1,26,Herefordshire
145,1,28,England
158,2,31,woman
173,2,35,aged
186,2,39,reported
208,2,43,involved
222,2,46,collision
232,2,47,involving
246,2,49,cars
257,2,52,train
268,2,55,level
274,2,56,crossing
283,2,57,located
291,2,58,near
303,2,61,village
314,2,63,Moreton
325,2,67,Lugg
338,2,70,GMT
345,2,72,Saturday
360,3,76,woman
375,3,80,currently
394,3,83,identified
410,3,86,airlifted
425,3,89,hospital
444,3,92,later
450,3,93,died
462,3,96,injuries
484,3,100,sustained
499,4,103,woman
507,4,105,husband
524,4,109,travelling
547,4,113,vehicle
569,4,118,time
581,4,121,crash
588,4,123,suffered
602,4,125,shoulder
615,4,127,pelvic
622,4,128,injuries
636,5,131,occupents
659,5,135,vehicle
679,5,140,old
683,5,141,girl
696,5,144,mother
715,5,148,given
721,5,149,treatment
735,5,151,minor
741,5,152,injuries
754,5,154,shock
769,5,157,subsequently
782,5,158,discharged
799,6,162,British
807,6,163,Transport
817,6,164,Police
829,6,167,currently
839,6,168,investigating
856,6,170,incident
871,6,172,took
876,6,173,place
885,6,175,Moreton
896,6,179,Lugg
901,6,180,level
907,6,181,crossing
919,6,183,Herefordshire
935,6,186,according
950,6,189,spokesperson
971,6,192,police
978,6,193,force
985,7,195,He
988,7,196,stated
997,7,199,Two
1001,7,200,vehicles
1015,7,202,struck
1027,7,205,train
1040,7,208,crossing
1063,7,212,Saturday
1077,8,215,occupants
1100,8,219,vehicle
1111,8,222,husband
1123,8,224,wife
1132,8,226,live
1137,8,227,locally
1151,8,230,taken
1160,8,232,hospital
1174,9,235,female
1182,9,237,aged
1191,9,240,sustained
1209,9,242,injuries
1226,9,245,airlifted
1239,9,247,hospital
1262,9,251,sadly
1268,9,252,died
1274,10,254,Her
1278,10,255,husband
1290,10,257,taken
1299,10,259,hospital
1311,10,261,ambulance
1334,10,265,treated
1346,10,267,minor
1352,10,268,injuries
