char,sent_n,token_i,word
0,1,0,DNA
4,1,1,tests
15,1,3,proven
27,1,5,David
33,1,6,Blunkett
53,1,10,father
63,1,12,Kimberley
73,1,13,Quinn
81,1,15,baby
86,1,16,son
91,1,18,Lorcan
103,2,21,spokesman
127,2,25,minister
136,2,26,said
146,2,28,test
152,2,30,categorically
166,2,31,denies
178,2,33,David
184,2,34,Blunkett
200,2,37,father
214,2,40,Quinn
222,2,42,second
229,2,43,son
233,2,44,Lorcan
245,3,47,test
254,3,49,carried
272,3,53,weeks
278,3,54,ago
287,3,56,consent
303,3,59,parties
314,4,62,However
322,4,63,Stephen
330,4,64,Quinn
341,4,67,real
346,4,68,father
354,4,70,attacked
363,4,71,Blunkett
375,4,73,saying
383,4,75,We
390,4,77,angry
401,4,79,Mr
404,4,80,Blunkett
427,4,84,chosen
437,4,86,talk
449,4,89,press
468,4,93,family
482,5,98,Blunkett
506,5,102,home
511,5,103,secretary
528,5,106,United
535,5,107,Kingdom
553,5,111,resigned
571,5,114,emerged
598,5,120,affair
615,5,123,Quinn
