char,sent_n,token_i,word
0,1,0,Reports
13,1,2,surfaced
27,1,4,officials
42,1,6,North
48,1,7,Korea
58,1,9,meet
68,1,11,officials
87,1,14,United
94,1,15,States
104,1,17,New
108,1,18,York
113,1,19,City
121,1,21,talk
136,1,24,sanctions
154,1,26,North
160,1,27,Korea
176,1,30,problems
201,1,34,countries
216,2,37,meeting
233,2,40,place
253,2,43,week
265,2,46,aimed
274,2,48,getting
290,2,50,talks
307,2,53,North
313,2,54,Korea
321,2,56,nuclear
329,2,57,program
346,2,61,track
354,3,64,Despite
366,3,66,reports
377,3,68,media
383,3,69,sources
396,3,72,White
402,3,73,House
411,3,75,Washington
431,3,78,denied
447,3,81,plans
460,3,84,sort
465,3,85,exist
475,4,90,We
487,4,94,aware
500,4,97,plans
512,4,100,meeting
522,4,103,said
529,4,105,spokesman
547,4,108,White
553,4,109,House
560,4,111,Tony
565,4,112,Fratto
574,5,115,Officials
591,5,118,State
597,5,119,Department
608,5,120,refused
619,5,122,comment
634,5,125,reports
645,6,129,I
654,6,132,comment
669,6,135,reports
679,6,138,said
686,6,140,spokesman
704,6,143,State
710,6,144,Department
722,6,146,Kurtis
729,6,147,Cooper
738,7,150,On
741,7,151,October
759,7,156,officials
783,7,160,met
792,7,162,North
798,7,163,Korean
805,7,164,officials
818,7,166,Beijing
827,7,168,China
839,7,170,led
847,7,172,North
853,7,173,Koreans
864,7,175,agree
873,7,177,return
891,7,180,talks
907,7,182,North
913,7,183,Korea
921,7,185,nuclear
929,7,186,program
