char,sent_n,token_i,word
0,1,0,Rescuers
9,1,1,working
20,1,3,free
25,1,4,miners
32,1,5,trapped
51,1,8,Beaconsfield
69,1,10,collapse
83,1,12,moved
94,1,15,slightly
103,1,16,faster
110,1,17,blasting
119,1,18,method
131,2,21,rescue
138,2,22,effort
149,2,24,expected
161,2,26,conclude
173,2,28,Sunday
196,2,33,rescuers
205,2,34,encountering
218,2,35,extremely
228,2,36,hard
233,2,37,rock
262,2,44,delayed
276,3,48,vertical
285,3,49,distance
298,3,51,previously
314,3,53,estimated
331,3,56,metres
348,3,59,rescuers
357,3,60,believe
387,3,66,work
398,3,68,carried
410,3,70,overnight
422,4,73,Todd
427,4,74,Russell
444,4,79,Brant
450,4,80,Webb
470,4,86,underground
489,4,89,nights
504,4,92,minor
510,4,93,earthquake
521,4,94,triggered
533,4,96,rockfall
549,4,99,Beaconsfield
562,4,100,Gold
567,4,101,Mine
573,5,103,They
578,5,104,survived
610,5,110,small
616,5,111,cage
630,5,114,collapse
639,5,115,occurred
649,6,117,Their
655,6,118,workmate
664,6,119,Larry
670,6,120,Knight
682,6,124,died
694,6,127,collapse
712,6,131,funeral
729,6,135,held
737,6,137,Launceston
751,6,139,Tuesday
760,7,141,His
764,7,142,family
771,7,143,members
784,7,145,delayed
796,7,147,funeral
804,7,148,proceedings
825,7,151,hope
839,7,154,trapped
847,7,155,miners
862,7,158,freed
872,7,160,able
880,7,162,attend
