char,sent_n,token_i,word
4,1,1,trial
13,1,3,Captain
21,1,4,Marwoto
29,1,5,Komar
38,1,7,set
45,1,9,begin
56,1,11,week
72,2,15,pilot
84,2,18,prosecuted
103,2,21,aircraft
112,2,22,accident
124,2,24,Indonesia
147,2,29,charged
164,2,32,March
178,2,36,crash
187,2,38,Garuda
194,2,39,Indonesia
204,2,40,Flight
218,2,43,Yogyakarta
229,2,44,International
243,2,45,Airport
254,2,48,disaster
269,2,50,killed
279,2,52,people
292,3,56,final
298,3,57,report
312,3,60,National
321,3,61,Transport
331,3,62,Safety
338,3,63,Commission
349,3,64,found
360,3,66,Komar
370,3,68,attempted
383,3,70,land
392,3,72,aircraft
404,3,75,Boeing
422,3,80,unsafely
431,3,81,high
436,3,82,speed
446,3,84,steep
452,3,85,angle
459,3,87,resulting
476,3,90,plane
482,3,91,overshooting
499,3,93,runway
510,3,95,bursting
524,3,97,flames
532,4,99,It
543,4,101,said
556,4,104,ignored
572,4,106,activations
591,4,109,Ground
598,4,110,Proximity
608,4,111,Warning
616,4,112,System
623,4,113,telling
642,4,117,approaching
658,4,119,fast
677,4,125,request
692,4,128,co
695,4,130,pilot
704,4,132,abort
714,4,134,landing
724,5,137,According
737,5,139,Muhammad
746,5,140,Assegaf
757,5,143,member
767,5,145,Captain
775,5,146,Komar
783,5,148,defense
791,5,149,team
801,5,152,trial
807,5,153,begins
817,5,155,Thursday
829,5,157,Yogyakarta
842,5,159,Slemen
849,5,160,District
858,5,161,Court
865,6,163,When
870,6,164,asked
886,6,167,nature
900,6,170,charges
909,6,172,deputy
916,6,173,attorney
925,6,174,general
937,6,176,general
945,6,177,offenses
954,6,178,Abdul
960,6,179,Hakim
966,6,180,Ritonga
974,6,181,told
979,6,182,reporters
990,6,184,It
996,6,186,complicated
1019,6,190,aviation
1032,6,192,criminal
1041,6,193,codes
1074,6,202,charges
1094,6,206,fatal
1100,6,207,negligence
1113,7,210,Most
1127,7,213,killed
1141,7,216,disaster
1155,7,218,Indonesians
1177,7,222,Australians
1199,7,225,killed
1207,8,227,They
1227,8,232,group
1233,8,233,sent
1238,8,234,ahead
1247,8,236,Australia
1264,8,239,foreign
1272,8,240,minister
1281,8,241,Alexander
1291,8,242,Downer
1301,8,244,accompany
1320,8,248,visit
1328,9,251,There
1342,9,254,controversy
1354,9,255,surrounding
1370,9,257,prosecution
1383,10,259,A
1385,10,260,group
1394,10,262,pilots
1401,10,263,protested
1415,10,265,initial
1423,10,266,arrest
1431,10,268,saying
1448,10,271,appear
1465,10,274,aviation
1474,10,275,tribunal
1484,11,277,Instead
1499,11,281,set
1509,11,284,tried
1527,11,287,judges
