char,sent_n,token_i,word
13,1,3,months
25,1,5,seen
34,1,7,number
44,1,9,land
49,1,10,conflicts
59,1,11,involving
69,1,12,indigenous
80,1,13,people
87,1,14,increase
96,1,15,rapidly
105,2,17,Brazil
131,2,22,people
153,2,28,express
171,2,31,need
181,2,33,respect
191,3,36,Hundreds
203,3,38,Indians
211,3,39,occupied
226,3,41,plots
235,3,43,land
245,3,45,week
256,3,48,attempt
267,3,50,reclaim
285,3,53,claim
300,3,56,property
310,4,58,They
320,4,60,calling
339,4,62,victims
356,4,65,threatened
370,4,67,destroy
378,4,68,power
384,4,69,lines
392,5,72,In
399,5,74,southern
408,5,75,region
418,5,77,Brazil
435,5,81,dozen
441,5,82,Indians
454,5,84,injured
467,5,87,police
474,5,88,operation
490,5,90,apparently
501,5,91,led
512,5,94,destruction
531,5,97,villages
543,5,99,land
561,5,103,focus
572,5,106,legal
578,5,107,dispute
595,5,110,Aracruz
603,5,111,Cellulose
613,5,112,company
623,6,115,There
639,6,118,incidents
660,6,120,Brazil
672,7,123,Amazon
679,7,124,jungle
693,7,127,north
711,7,132,southern
720,7,133,state
729,7,135,Catarina
750,7,138,Indians
763,7,140,arrested
776,7,142,property
785,7,143,invasion
798,7,145,aggression
815,8,149,indigenous
826,8,150,people
838,8,152,organized
868,8,156,past
879,8,158,decades
888,9,160,They
908,9,165,political
918,9,166,force
926,9,169,said
931,9,170,Rubem
937,9,171,de
940,9,172,Almeida
950,9,174,local
956,9,175,anthropologist
977,10,179,government
991,10,181,Brazil
1008,10,184,somewhat
1017,10,185,successful
1031,10,187,bringing
1046,10,189,improvements
1065,10,191,improve
1077,10,193,reality
1093,10,196,indigenous
1104,10,197,communities
1118,11,200,Some
1130,11,203,indigenous
1141,11,204,people
1163,11,209,simply
1170,11,210,wait
1183,11,213,mainstream
1201,11,217,April
1215,11,220,year
1230,11,223,major
1236,11,224,demonstrations
1251,11,225,planned
