char,sent_n,token_i,word
20,1,6,After
28,1,8,promising
38,1,9,lead
48,1,11,Pahrump
57,1,13,Nevada
64,1,14,failed
74,1,16,identify
87,1,18,owner
100,1,21,notorious
111,1,23,chili
117,1,24,finger
126,1,27,Wendy
134,1,29,doubled
148,1,31,reward
158,1,33,Friday
181,2,39,Sandy
187,2,40,Allman
194,2,41,recently
203,2,42,lost
210,2,44,finger
220,2,46,Pahrump
236,2,50,leopard
244,2,51,bit
256,3,55,Allman
265,3,57,finger
281,3,60,seen
291,3,63,Las
295,3,64,Vegas
301,3,65,hospital
311,4,67,Coincidentally
327,4,69,Anna
332,4,70,Ayala
343,4,73,woman
353,4,75,found
364,4,78,chili
370,4,79,finger
384,4,83,lives
393,4,85,Las
397,4,86,Vegas
404,5,88,However
418,5,91,Allman
427,5,93,prints
439,5,95,sent
447,5,97,San
451,5,98,Jose
456,5,99,police
476,5,104,match
485,6,108,There
497,6,111,connection
510,6,114,Sheriff
518,6,115,Tony
523,6,116,Demeo
529,6,117,told
538,6,119,San
542,6,120,Jose
547,6,121,Mercury
555,6,122,News
