char,sent_n,token_i,word
0,1,0,Boeing
9,1,2,Launch
16,1,3,Systems
25,1,5,Launch
32,1,6,Services
45,1,8,Delta
51,1,9,Program
59,1,10,business
68,1,11,units
84,1,15,allowed
95,1,17,bid
118,1,22,space
124,1,23,launch
131,1,24,contracts
146,1,27,USAF
155,1,29,announced
167,2,32,Boeing
183,2,35,suspended
199,2,37,July
219,2,42,violating
229,2,43,federal
237,2,44,law
246,3,47,company
258,3,49,discovered
285,3,54,possession
299,3,56,thousands
312,3,58,pages
321,3,60,documentation
340,3,62,Lockheed
349,3,63,Martin
357,3,65,Boeing
366,3,67,rival
388,3,71,evolved
396,3,72,expendable
407,3,73,launch
414,3,74,vehicle
422,3,75,source
429,3,76,selection
439,3,77,process
454,4,81,USAF
463,4,83,Boeing
475,4,85,signed
485,4,87,interim
493,4,88,agreement
506,4,90,protect
518,4,92,Air
522,4,93,Force
530,4,95,interests
545,5,98,agreement
555,5,99,allows
570,5,102,reinstating
589,5,105,suspension
603,5,107,Boeing
613,5,109,indicted
625,5,111,convicted
642,5,115,new
646,5,116,evidence
658,5,118,found
667,6,121,Boeing
687,6,125,submit
697,6,127,outside
705,6,128,verification
725,6,131,remedial
734,6,132,steps
747,6,135,taken
765,6,140,charge
776,6,142,Air
780,6,143,Force
790,6,145,associated
801,6,146,costs
808,7,148,Internal
817,7,149,management
828,7,150,responsibilities
849,7,152,ethical
857,7,153,practice
876,7,156,changed
886,8,159,Lockheed
895,9,160,Martin
904,9,162,Atlas
910,9,163,V
916,9,165,Boeing
925,9,167,Delta
931,9,168,IV
942,9,171,types
951,9,173,expendable
962,9,174,rocket
970,9,176,designed
982,9,178,reduce
993,9,180,cost
1001,9,182,space
1007,9,183,launches
