char,sent_n,token_i,word
0,1,0,In
3,1,1,proceedings
22,1,4,Guantanamo
33,1,5,military
42,1,6,commission
60,1,9,United
67,1,10,States
74,1,11,Guantanamo
85,1,12,Bay
89,1,13,Naval
95,1,14,Base
103,1,16,Monday
111,1,18,Khalid
118,1,19,Sheikh
125,1,20,Mohammed
143,1,23,alleged
151,1,24,co
154,1,26,conspirators
167,1,27,stated
189,1,31,confess
201,1,33,plead
207,1,34,guilty
221,1,37,charges
234,1,39,face
246,1,42,planning
259,1,44,execution
276,1,47,September
289,1,49,attacks
321,2,57,stand
327,2,58,accused
340,2,60,Khalid
347,2,61,Sheikh
354,2,62,Mohammed
368,2,65,alleged
376,2,66,mastermind
392,2,69,Mustafa
400,2,70,al
403,2,72,Hawsawi
412,2,74,Ramzi
418,2,75,Binalshibh
430,2,77,Ammar
436,2,78,al
439,2,80,Baluchi
448,2,82,aka
452,2,83,Ali
456,2,84,Abd
460,2,85,al
463,2,87,Aziz
468,2,88,Ali
478,2,92,Walid
484,2,93,bin
489,2,95,Attash
497,3,97,They
523,3,103,Guantanamo
534,3,104,Bay
538,3,105,detention
548,3,106,camp
570,3,111,years
582,4,115,defendants
593,4,116,announced
609,4,118,intentions
623,4,120,court
635,4,123,Stephen
646,4,125,Henley
653,4,126,reading
667,4,128,filing
680,5,132,judge
686,5,133,asked
706,5,137,plead
712,5,138,guilty
721,6,141,Yes
727,6,144,said
732,6,145,Mohammed
752,6,151,want
760,6,153,waste
766,6,154,time
773,7,157,He
781,7,159,said
798,7,164,earnest
806,7,165,desire
817,7,168,admit
823,7,169,guilt
833,7,171,said
841,7,173,wanted
852,7,175,proceeding
866,7,177,end
879,7,180,I
888,7,183,trust
894,7,184,Americans
907,8,188,Mohammed
921,8,190,expressed
931,8,191,displeasure
951,8,194,took
963,8,197,month
977,8,200,court
986,8,202,address
998,8,204,filing
1005,8,205,requesting
1020,8,208,immediate
1030,8,209,hearing
1038,8,210,session
1049,8,212,announce
1062,8,214,confessions
1076,9,217,In
1079,9,218,court
1088,9,220,said
1095,9,223,I
1103,9,226,know
1120,10,231,military
1129,10,232,commissions
1147,10,234,carrier
1155,10,235,pigeons
1173,11,240,speaking
1185,11,242,English
1199,12,246,judge
1215,12,249,accept
1222,12,250,pleas
1233,12,252,Binalshibh
1248,12,254,al
1251,12,256,Hawsawi
1260,12,258,ordering
1269,12,259,mental
1276,12,260,competency
1287,12,261,hearings
1310,13,267,Al
1313,13,268,Hawsawi
1321,13,269,objected
1334,13,271,told
1343,13,273,judge
1352,13,275,decided
1363,13,277,plead
1369,13,278,guilty
1389,13,283,complete
1398,13,284,mental
1405,13,285,capacity
1418,13,287,voluntarily
1433,14,291,However
1442,14,293,Mohammed
1451,14,294,told
1460,14,296,judge
1481,14,300,enter
1493,14,302,pleas
1507,14,304,Binalshibh
1522,14,306,al
1525,14,308,Hawsawi
1535,14,311,We
1538,14,312,want
1555,14,315,plead
1574,15,321,Our
1578,15,322,plea
1587,15,324,based
1596,15,326,joint
1602,15,327,strategy
1613,15,330,al
1616,15,332,Baluchi
1624,15,333,told
1633,15,335,judge
1641,16,338,All
1654,16,341,decisions
1668,16,343,undertaken
1697,16,348,pressure
1709,16,350,influence
1722,16,352,Khalid
1729,16,353,Sheikh
1737,16,355,Mohammed
1760,16,361,said
1767,17,364,What
1776,17,366,said
1792,17,370,said
1800,17,372,Khalid
1807,17,373,Sheikh
1822,17,376,repeated
1846,18,384,After
1856,18,386,competency
1867,18,387,evaluations
1888,18,390,hearing
1904,18,393,held
1929,18,399,enter
1941,18,401,pleas
1948,19,403,Presiding
1958,19,404,Officer
1966,19,405,Stephen
1974,19,406,Henley
1981,19,407,asked
1991,19,409,briefs
2003,19,411,prosecutors
2030,19,415,military
2039,19,416,commission
2055,19,419,accept
2064,19,421,plea
2072,19,423,guilty
2084,19,426,capital
2092,19,427,offense
2103,20,431,Monday
2112,20,433,hearing
2124,20,435,unusual
2144,20,440,addition
2160,20,443,press
2171,20,446,families
2193,20,450,victims
2214,20,454,attendance
