char,sent_n,token_i,word
0,1,0,Ice
4,1,1,samples
12,1,2,retrieved
31,1,5,miles
40,1,8,km
44,1,10,beneath
56,1,12,surface
67,1,14,Greenland
82,1,16,uncovered
96,1,18,oldest
103,1,19,known
109,1,20,samples
120,1,22,DNA
129,1,24,insects
142,2,27,samples
151,2,29,estimated
183,2,35,years
189,2,36,old
204,2,40,shown
232,2,46,million
240,2,47,years
246,2,48,ago
251,2,50,Greenland
270,2,53,home
278,2,55,forests
290,2,57,animal
297,2,58,life
305,3,62,We
313,3,64,shown
333,3,68,time
343,3,70,southern
352,3,71,Greenland
372,3,75,hidden
387,3,78,km
393,3,80,ice
412,3,85,different
429,3,88,Greenland
446,3,91,today
453,4,93,Back
471,4,98,inhabited
486,4,101,diverse
494,4,102,array
503,4,104,conifer
511,4,105,trees
521,4,107,insects
531,4,110,said
536,4,111,Professor
550,4,113,leader
564,4,116,team
582,4,120,discovery
600,4,124,University
614,4,126,Copenhagen
628,4,128,Denmark
637,4,130,Eske
642,4,131,Willerslev
656,5,135,This
661,5,136,genetic
669,5,137,material
678,5,138,presents
689,5,140,biological
700,5,141,environment
721,5,144,completely
732,5,145,different
745,5,147,today
752,6,149,We
760,6,151,found
766,6,152,grain
773,6,154,pine
779,6,156,yew
787,6,158,alder
800,7,161,correspond
818,7,164,landscapes
832,7,166,find
840,7,168,eastern
848,7,169,Canada
862,7,172,Swedish
870,7,173,forests
878,7,174,today
886,7,177,added
892,7,178,Willerslev
905,8,181,Willerslev
921,8,183,says
946,8,188,presence
962,8,191,yews
972,8,194,temperatures
993,8,197,area
1001,8,199,Greenland
1032,8,205,lower
1047,8,208,degrees
1055,8,209,Celsius
1082,8,215,variety
1099,8,218,trees
1110,8,221,summer
1117,8,222,temperatures
1138,8,225,lower
1153,8,229,degrees
1161,8,230,Celsius
1178,9,235,findings
1193,9,237,change
1204,9,239,history
1215,9,241,Greenland
1230,10,244,current
1238,10,245,theory
1253,10,248,Greenland
1267,10,250,free
1281,10,253,ice
1306,10,258,years
1312,10,259,ago
1321,11,262,results
1336,11,265,findings
1349,11,267,suggest
1362,11,269,Greenland
1386,11,273,covered
1399,11,275,ice
1424,11,280,years
