char,sent_n,token_i,word
0,1,0,An
3,1,1,American
12,1,2,Airlines
21,1,3,jetliner
34,1,5,overshot
47,1,7,runway
61,1,10,airport
76,1,13,Jamaican
85,1,14,capital
93,1,15,Kingston
102,1,16,injuring
123,1,20,people
136,2,24,Boeing
151,2,28,jet
155,2,29,overran
167,2,31,runway
177,2,33,Norman
184,2,34,Manley
191,2,35,International
205,2,36,Airport
213,2,37,late
218,2,38,Tuesday
236,2,42,coming
252,2,46,landing
269,2,49,heavy
275,2,50,rainstorm
290,3,53,plane
296,3,54,went
311,3,57,fence
324,3,60,end
335,3,63,runway
346,3,65,skidded
361,3,68,roadway
376,3,70,coming
386,3,72,rest
396,3,75,beach
403,4,77,There
417,4,80,reports
432,4,83,fatalities
446,5,86,More
460,5,89,people
475,5,92,board
485,5,94,flight
493,5,96,flying
503,5,98,Flight
515,5,101,originated
529,5,103,Washington
549,5,107,Ronald
556,5,108,Reagan
563,5,109,Washington
574,5,110,National
583,5,111,Airport
598,5,114,stop
606,5,116,Miami
612,5,117,International
626,5,118,Airport
637,5,120,Florida
652,5,122,heading
663,5,124,Kingston
674,6,127,A
676,6,128,spokesman
690,6,130,American
699,6,131,Airlines
708,6,132,says
725,6,136,plane
733,6,138,landing
741,6,139,gear
746,6,140,collapsed
765,6,144,engine
779,6,147,right
790,6,149,came
803,6,152,wing
813,7,155,fuselage
826,7,157,split
832,7,158,open
845,7,161,jet
849,7,162,came
857,7,164,rest
862,7,165,metres
878,7,168,Caribbean
888,7,169,Sea
894,8,172,One
898,8,173,passenger
909,8,175,Pilar
915,8,176,Abaurrea
925,8,178,described
939,8,180,landing
952,8,183,telephone
962,8,184,interview
981,8,187,Associated
992,8,188,Press
999,8,190,saying
1008,8,193,All
1017,8,196,sudden
1033,8,200,hit
1041,8,202,ground
1053,8,205,plane
1063,8,207,kind
1071,8,209,bouncing
1089,8,212,said
1098,8,214,plane
1108,8,216,skidding
1131,8,220,panic
1139,9,223,Abaurrea
1153,9,225,noted
1168,9,228,flight
1179,9,230,encountered
1191,9,231,turbulence
1205,9,233,severe
1221,9,236,drinks
1228,9,237,service
1240,9,239,suspended
1256,9,241,times
1271,9,244,cancelled
1281,9,245,completely
