char,sent_n,token_i,word
0,1,0,A
2,1,1,group
11,1,3,researchers
28,1,5,teamed
47,1,9,University
61,1,11,Queensland
77,1,13,begun
85,1,15,study
91,1,16,olanning
103,1,18,predict
115,1,20,future
129,1,23,Great
135,1,24,Barrier
143,1,25,Reef
151,1,27,studying
164,1,29,past
176,2,33,research
185,2,34,aims
196,2,37,able
204,2,39,predict
225,2,43,reef
235,2,45,react
244,2,47,different
254,2,48,environmental
268,2,49,changes
293,2,54,years
302,2,56,studying
315,2,58,changes
327,2,60,adaptations
366,2,67,reef
385,2,71,past
393,3,74,When
398,3,75,speaking
416,3,78,University
430,3,80,Queensland
446,3,83,projects
455,3,84,co
458,3,85,leader
465,3,86,professor
475,3,87,Gregg
481,3,88,Webb
489,3,90,UQ
494,3,92,School
504,3,94,Earth
510,3,95,Sciences
519,3,96,said
529,3,99,project
540,3,101,producing
550,3,102,significant
562,3,103,new
566,3,104,data
574,3,106,help
582,3,108,understand
597,3,110,recent
604,3,111,history
619,3,114,Great
625,3,115,Barrier
633,3,116,Reef
645,3,119,predict
653,3,120,future
660,3,121,reef
665,3,122,responses
678,3,124,environmental
692,3,125,change
700,4,127,Despite
712,4,129,great
729,4,132,variety
740,4,134,research
749,4,135,carried
768,4,139,southern
777,4,140,Great
783,4,141,Barrier
791,4,142,Reef
797,4,144,especially
811,4,146,Heron
821,4,148,One
825,4,149,Tree
830,4,150,reefs
842,4,153,little
852,4,155,known
874,4,159,reefs
880,4,160,responded
893,4,162,changing
902,4,163,sea
906,4,164,levels
917,4,166,climate
932,4,169,past
940,6,173,By
949,6,175,able
957,6,177,predict
970,6,179,hwo
978,6,181,reef
991,6,184,ennviroments
1009,6,186,react
1018,6,188,change
1029,6,190,researchers
1041,6,191,hope
1059,6,195,able
1075,6,198,protect
1095,6,202,major
1101,6,203,dmage
1107,6,204,going
1122,6,207,future
1132,7,210,Back
1140,7,212,May
1152,7,215,year
1164,7,218,decided
1175,7,220,UNESCO
1191,7,223,reef
1217,7,228,despite
1229,7,230,fact
1256,7,237,reefs
1262,7,238,coral
1277,7,241,lost
1297,7,246,years
1311,8,250,Professor
1321,8,251,Webb
1326,8,252,continued
1336,8,253,saying
1344,8,255,Importantly
1361,8,258,research
1382,8,262,unlocking
1396,8,264,history
1407,8,266,modern
1414,8,267,reef
1419,8,268,growth
1439,8,273,able
1447,8,275,recover
1455,8,276,soils
1470,8,279,interval
1488,8,282,reefs
1499,8,284,exposed
1534,8,292,ancient
1542,8,293,reef
1547,8,294,rock
1575,8,300,years
1581,8,301,old
1600,8,306,time
1609,8,308,shelf
1619,8,310,flooded
1628,9,312,Only
1645,9,315,recovery
1657,9,317,core
1662,9,318,samples
1679,9,321,history
1690,9,323,studied
1702,9,325,understood
1718,9,328,coring
1735,9,332,difficult
1749,9,334,specialised
1761,9,335,operation
1772,9,337,especially
1794,9,340,constraints
1809,9,342,environmentally
1825,9,343,sensitive
1835,9,344,areas
1841,9,345,like
1846,9,346,coral
1852,9,347,reefs
